url,maker,date,image_list,n_images,locat,c1,c2,c3,Carrozzeria,Tipo di veicolo,Trazione,Posti,Porte,Versione per nazione,Usato garantito,Chilometraggio,Anno,Potenza,Tipo di cambio,Altre fonti energetiche,Classe emissioni,Comfort,Intrattenimento / Media,Sicurezza,Extra,Colore,Colore finiture interne,Materiale,Acconto,Costo del trasferimento ,Costo di registrazione,"Totale, unico",Tipo di contratto,Chilometraggio p.a.,Durata,Quota mensile,Tasso di interesse effettivo,Interessi passivi pagati p.a.,Prestito netto,Rata finale,Proprietari,Tagliandi certificati,Veicolo non fumatori,Cilindrata,Marce,Cilindri,Peso a vuoto,Tipo di vernice,Importo totale della locazione,Fattore di locazione,Più km costi,Risarcimento per meno km,Offerta n.,Carburante,Emissioni CO₂,Colore specifico,Prezzo auto,Anticipo,Importo finanziato,Importo totale dovuto,TAEG,TAN Fisso,Rata,Anno di produzione,Revisione,Per neopatentati,Ultimo tagliando,Cambio cinghia distribuzione,Portata massima,Prezzo veicolo,Numero rate,Importo da rimborsare,Importo rate
/annunci/volkswagen-golf-5p-1-3-c-5m-benzina-grigio-ef4d3226-3efe-4a8b-8906-1a2ea0eded9d,Volkswagen,2022-11-22 22:41:41.630365,"['https://prod.pictures.autoscout24.net/listing-images/ef4d3226-3efe-4a8b-8906-1a2ea0eded9d_7844f18b-8488-4a96-8234-5f0a6640d334.jpg', 'https://prod.pictures.autoscout24.net/listing-images/ef4d3226-3efe-4a8b-8906-1a2ea0eded9d_a9ce3698-8d1a-420a-841f-7c9b21faa7d1.jpg', 'https://prod.pictures.autoscout24.net/listing-images/ef4d3226-3efe-4a8b-8906-1a2ea0eded9d_7035a546-fcab-4cf6-98a7-f9e057fa5c66.jpg', 'https://prod.pictures.autoscout24.net/listing-images/ef4d3226-3efe-4a8b-8906-1a2ea0eded9d_742c8589-6453-499a-8d23-9a8c7be2a507.jpg', 'https://prod.pictures.autoscout24.net/listing-images/ef4d3226-3efe-4a8b-8906-1a2ea0eded9d_fd774d44-8a8c-484c-927b-446ee693a045.jpg', 'https://prod.pictures.autoscout24.net/listing-images/ef4d3226-3efe-4a8b-8906-1a2ea0eded9d_20dd71ab-b0c3-44e7-9d96-5ed4572487de.jpg', 'https://prod.pictures.autoscout24.net/listing-images/ef4d3226-3efe-4a8b-8906-1a2ea0eded9d_741b993c-949f-4d4e-ac86-b49738430203.jpg']",7,"Asciano, IT",0,0,0,Berlina,Usato,,5,5,,,403.111 km,07/1989,40 k W (54 C V),Manuale,,,,,A BS,Gancio traino Pneumatici quattro stagioni Portapacchi Ruota di riserva,Grigio,,,"€ 4.500,-","€ 890,-",Keine Angabe,"€ 5.390,-",Kilometerleasing,10.000 km,48 Monate,"€ 419,88","4,99 %","4,88 % gebunden","€ 20.154,24",,,Sì,,1.272 cm³,,,,,,,"€ 0,1218","€ 0,0812",,Benzina,,,"€ 1.500,-",-,"€ 1.500,-","€ 1.652,76","6,60 %","6,41 %","€ 45,91",,,,03/2022,07/2021,,,,,
/annunci/volkswagen-golf-tgi-business-dsg-metano-1-5-metano-130cv-nero-b0100c74-3215-4edc-95bb-31042fd2c9ce,Volkswagen,2022-11-22 22:41:42.242200,"['https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_824d5c1d-7a35-4dd7-9826-a9fba4446da3.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_eb22fc4f-cfee-4a25-88c6-f42b1c639e8a.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_85a2a519-7271-4a02-ba8c-26ce879cc3e0.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_4cbc68b7-f5e9-4bc7-9622-fd4f93dc6c9b.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_dfa4d49f-5489-411d-9743-a201e473556d.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_34d744df-863e-4f56-a79d-e2f7cb6bc99a.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_fa88ccba-7694-4b18-80f1-219c17ce6f0d.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_2db76674-4c69-49b7-bbce-1499f562caf8.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_6455b520-7dec-48c6-a4a8-38f02132c630.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_7fd721a3-47fa-41e6-894d-202f1d0673e2.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_42667aa6-2d81-425c-bb22-cb5f5bc02ed1.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_ce902764-13cc-46ce-ba81-73f227191edb.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_24dc48aa-3072-40c9-8dcd-618700eb5cbb.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_59caa8b1-940e-4be6-8e93-5a3aed4c8027.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b0100c74-3215-4edc-95bb-31042fd2c9ce_1e207827-bf33-47e6-a718-1e6b2032ba8c.jpg']",15,"Reggio Emilia RE, IT",,,,Berlina,Usato,Anteriore,5,5,,12 mesi,55.696 km,11/2019,96 k W (131 C V),Automatico,,Euro 6d-T EM P,Supporto lombare Volante in pelle,,Chiusura centralizzata Fendinebbia,Cerchi in lega,Nero,Nero,Stoffa,"€ 0,-","€ 970,-","€ 0,-","€ 970,-",Kilometerleasing,10.000 km,48 Monate,"€ 863,-","4,97 %","4,97 % gebunden","€ 73.485,-",,1,,Sì,1.498 cm³,7,4,1.370 kg,,"€ 41.424,-","1,04","€ 0,2083","€ 0,0833",B R126815,,,Nero,"€ 18.990,-",-,"€ 19.000,-","€ 23.577,60","9,22 %","8,50 %","€ 389,81",,,,,,,,,,
/annunci/volkswagen-golf-5p-1-6-tdi-comfortline-diesel-argento-3913fc7b-2651-4f72-9cb2-c96b6c2909af,Volkswagen,2022-11-22 22:41:42.886641,[],0,"Cantù Asnago CO, IT","4,6","5,7","3,9",Berlina,Usato,Anteriore,5,5,,,128.000 km,04/2012,77 k W (105 C V),Manuale,,Euro 5,Alzacristalli elettrici Bracciolo Climatizzatore Sedile posteriore sdoppiato Sensore di pioggia Specchietti laterali elettrici,Autoradio CD Computer di bordo,A BS Airbag conducente Airbag laterali Airbag passeggero Antifurto Chiusura centralizzata Chiusura centralizzata telecomandata ES PFendinebbia Isofix Servosterzo,"Cerchi in lega (16"")Ruota di riserva Ruotino",Argento,Nero,Stoffa,"€ 0,-","€ 970,-","€ 0,-","€ 970,-",Kilometerleasing,10.000 km,48 Monate,"€ 863,-","4,97 %","4,97 % gebunden","€ 73.485,-",,,,Sì,1.598 cm³,5,4,1.314 kg,Metallizzato,"€ 41.424,-","1,04","€ 0,2083","€ 0,0833",,Diesel (Filtro antiparticolato),,,"€ 7.500,-",-,"€ 7.500,-","€ 9.243,75","8,92 %","7,71 %","€ 151,-",,09/2024,,,,,,,,
/annunci/volkswagen-t-roc-t-roc-2-0-tdi-business-150cv-dsg-diesel-bianco-70dc4ed7-d29f-4462-84c6-506a45b7b288,Volkswagen,2022-11-22 22:41:43.651339,"['https://prod.pictures.autoscout24.net/listing-images/70dc4ed7-d29f-4462-84c6-506a45b7b288_998b730a-1e3a-40aa-91e1-9961fc21f308.jpg', 'https://prod.pictures.autoscout24.net/listing-images/70dc4ed7-d29f-4462-84c6-506a45b7b288_9a864fc6-93cf-457c-a75b-05754cd51eb6.jpg', 'https://prod.pictures.autoscout24.net/listing-images/70dc4ed7-d29f-4462-84c6-506a45b7b288_876071f7-5738-4c6c-af11-6f8608024550.jpg']",3,"Moncalieri, IT","4,7","5,4","4,3",S UV/Fuoristrada/Pick-up,Usato,,5,5,,,45.000 km,05/2019,110 k W (150 C V),Semiautomatico,,,"Alzacristalli elettrici Bracciolo Chiusura centralizzata senza chiave Climatizzatore automatico, 2 zone Portellone posteriore elettrico Regolazione elettrica sedili Sensore di luminosità Sensore di pioggia Sensori di parcheggio assistito anteriori Sensori di parcheggio assistito posteriori Sistema di navigazione Sistema di parcheggio automatico Specchietti laterali elettrici Start/Stop Automatico Supporto lombare Telecamera per parcheggio assistito Tetto panoramico Vetri oscurati Volante in pelle",Android Auto Apple Car Play Autoradio Autoradio digitale MP3 Schermo multifunzione interamente digitale Sound system US B,A BS Adaptive Cruise Control Airbag conducente Airbag passeggero Airbag testa Antifurto Assistente abbaglianti Blind spot monitor Chiusura centralizzata Chiusura centralizzata telecomandata Controllo automatico trazione Controllo elettronico della corsia ES PFari L ED Fari di profondità antiabbagliamento Fari direzionali Fari full-L ED Fendinebbia Immobilizzatore elettronico Isofix Luci diurne Riconoscimento dei segnali stradali Servosterzo Sistema di avviso di distanza Sistema di chiamata d'emergenza Sistema di controllo pressione pneumatici Sistema di riconoscimento della stanchezza,Cerchi in lega Controllo vocale Freno di stazionamento elettrico Gancio traino Luce d'ambiente Portapacchi Ruota di riserva Sospensioni sportive Touch screen,Bianco,Bianco,Pelle parziale,,,,,,,60 Mesi,,,,,,,,,1.968 cm³,7,4,1.453 kg,,,,,,,Diesel,151 g/km (comb.),,"€ 24.900,-",-,"€ 24.900,-","€ 30.840,60","9,13 %","8,50 %","€ 510,86",,,,,,,,,,
/annunci/volkswagen-golf-golf-1-5-tsi-evo-style-130cv-benzina-nero-5db403da-e44e-4f11-8b48-600c63c8d7a0,Volkswagen,2022-11-22 22:41:44.253107,"['https://prod.pictures.autoscout24.net/listing-images/5db403da-e44e-4f11-8b48-600c63c8d7a0_1da498e9-1230-4795-84d6-66aedb5f404f.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5db403da-e44e-4f11-8b48-600c63c8d7a0_f6086e01-a8b6-4d57-903c-5ea9b05a787e.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5db403da-e44e-4f11-8b48-600c63c8d7a0_f1c70304-ac44-4afa-a785-4920da3012a9.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5db403da-e44e-4f11-8b48-600c63c8d7a0_b176ba3e-4907-493f-9e58-8f0b767f5e7b.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5db403da-e44e-4f11-8b48-600c63c8d7a0_1b4843d2-ad7a-43f2-9f4a-f0788cba3018.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5db403da-e44e-4f11-8b48-600c63c8d7a0_8c8bc8f9-e828-4e36-86fc-e70d2f54f157.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5db403da-e44e-4f11-8b48-600c63c8d7a0_56f349d8-6108-418c-824a-7fcb549065a1.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5db403da-e44e-4f11-8b48-600c63c8d7a0_2dcb485e-7d0c-4de6-90fd-cc70b6f82eaa.jpg']",8,"Castellanza, IT",,,,Berlina,Usato,Anteriore,5,5,,24 mesi,22.045 km,06/2021,96 k W (131 C V),Manuale,,Euro 6d-T EM P,Alzacristalli elettrici Chiusura centralizzata senza chiave Volante multifunzione,,,"Cerchi in lega (16"")",Nero,Nero,Stoffa,"€ 0,-",Enthalten,"€ 0,-","€ 0,-",Kilometerleasing,10.000 km,42 Monate,"€ 542,-","1,73 %","1,73 % gebunden","€ 41.999,-",,,,,1.498 cm³,6,4,1.315 kg,,"€ 22.764,-","0,97","€ 0,1261","€ 0,0476",690524,Benzina,110 g/km (comb.),D EE P B LA CK P ER LA TO,"€ 26.900,-",-,"€ 26.900,-","€ 33.302,40","9,11 %","8,50 %","€ 551,89",,,,,,,,,,
/annunci/volkswagen-golf-golf-2-0-tdi-style-150cv-dsg-diesel-nero-d1a3d4e6-570c-4e8d-a968-88673f1c0f1b,Volkswagen,2022-11-22 22:41:44.914821,"['https://prod.pictures.autoscout24.net/listing-images/d1a3d4e6-570c-4e8d-a968-88673f1c0f1b_b839210c-b727-423e-8485-826c9ba29393.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d1a3d4e6-570c-4e8d-a968-88673f1c0f1b_562370ec-c3f9-4f8d-a313-8c9168acbd93.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d1a3d4e6-570c-4e8d-a968-88673f1c0f1b_58b1ff1c-4b67-4ceb-8e3a-00121d6a90f0.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d1a3d4e6-570c-4e8d-a968-88673f1c0f1b_cdba09b7-0481-41a2-8bf3-54f597599f49.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d1a3d4e6-570c-4e8d-a968-88673f1c0f1b_80f84c0e-77df-49f0-a1ad-df4aa4bd7906.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d1a3d4e6-570c-4e8d-a968-88673f1c0f1b_8c6a4ee6-ce8f-4152-aa5d-55cc38d00597.jpg']",6,"Castellanza, IT",,,,Berlina,Usato,Anteriore,5,5,,12 mesi,25.345 km,08/2021,110 k W (150 C V),Automatico,,Euro 6d-T EM P,Alzacristalli elettrici Chiusura centralizzata senza chiave Volante multifunzione,,,"Cerchi in lega (16"")",Nero,Nero,Stoffa,"€ 0,-",Keine Angabe,"€ 0,-","€ 0,-",Kilometerleasing,10.000 km,48 Monate,"€ 399,-","1,79 %","1,79 % gebunden","€ 19.152,-",,,,,1.968 cm³,7,4,1.465 kg,,"€ 19.152,-","0,92","€ 0,0000","€ 0,0000",690820,Diesel,102 g/km (comb.),D EE P B LA CK P ER LA TO,,,,,,,,,,,,,,,,,
/annunci/alfa-romeo-giulietta-1-4-t-progression-gpl-benzina-blu-azzurro-a3d21e73-93c3-4c33-9c78-35653d0a63ed,Alfa Romeo,2022-11-22 22:42:17.012542,"['https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_19889a0c-34fa-4a19-9e06-97508215147d.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_b7f07721-3d0b-48c9-b35c-2f03474e2fd0.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_81d3e937-6808-4491-9a47-8e7000e8aa5c.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_7386278b-1532-4001-981d-78cc65b35357.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_c7899208-4f70-45b2-8d00-cfd2e3b6f048.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_08cd0b0c-b8b1-4a97-a5fc-00dff2e76874.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_f84a99d9-1950-4be0-bccd-151ca2c7638d.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_45cb7225-06fb-4040-80fd-327ce58cc327.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_0493ba51-a6b4-43a1-becd-0f29a1bfb019.jpg', 'https://prod.pictures.autoscout24.net/listing-images/a3d21e73-93c3-4c33-9c78-35653d0a63ed_14c1b702-5a0e-4ca4-bdff-d702aa9cbe15.jpg']",10,"Rivoli, IT","6,4","8,4","5,3",Berlina,Usato,,5,5,,,127.000 km,10/2010,88 k W (120 C V),Manuale,,,Alzacristalli elettrici Bracciolo Climatizzatore Cruise Control Regolazione elettrica sedili Sedile posteriore sdoppiato Sedili riscaldati Sensore di luminosità Sensore di pioggia Sensori di parcheggio assistito anteriori Sensori di parcheggio assistito posteriori Specchietti laterali elettrici Start/Stop Automatico Vetri oscurati Volante in pelle Volante multifunzione,Autoradio Bluetooth Computer di bordo MP3 Schermo multifunzione interamente digitale Sound system Vivavoce,Airbag conducente Airbag laterali Airbag passeggero Antifurto Assistente abbaglianti ES PFari bi-Xeno Fari di profondità antiabbagliamento Fendinebbia Isofix Luci diurne,Cerchi in lega Ruotino Sistema lavafari Specchietto retrovisore con funzione antiabbagliamento Spoiler,Blu/Azzurro,,,"€ 0,-","€ 979,-",Enthalten,"€ 979,-",Kilometerleasing,10.000 km,48 Monate,"€ 585,-","6,25 %","6,08 % gebunden","€ 43.690,-",,,,,1.368 cm³,6,4,1.355 kg,,"€ 28.064,16","2,08",,,,Benzina,149 g/km (comb.),,"€ 9.200,-",-,"€ 9.200,-","€ 11.235,80","8,50 %","7,45 %","€ 184,13",,,,07/2022,01/2022,,,,,
/annunci/land-rover-range-rover-evoque-5p-2-0-td4-se-150cv-auto-diesel-rosso-5e9090ce-e4f3-497d-ba6f-94f94cdf7395,Land Rover,2022-11-22 22:42:48.295856,"['https://prod.pictures.autoscout24.net/listing-images/5e9090ce-e4f3-497d-ba6f-94f94cdf7395_d486de83-082b-4fc6-a6ea-d97a1ba74707.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5e9090ce-e4f3-497d-ba6f-94f94cdf7395_a95a877e-5356-4a36-85b4-3780c1fc07d4.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5e9090ce-e4f3-497d-ba6f-94f94cdf7395_64ca9441-ded6-49d1-bc4e-bcdeffaab71f.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5e9090ce-e4f3-497d-ba6f-94f94cdf7395_5fb9c068-efab-42b8-be10-92f7e6a52b5d.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5e9090ce-e4f3-497d-ba6f-94f94cdf7395_6af969e6-d48e-4c79-ba1d-d7f131305719.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5e9090ce-e4f3-497d-ba6f-94f94cdf7395_65bd2ee4-c971-41dc-ae8d-41930d7b8e68.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5e9090ce-e4f3-497d-ba6f-94f94cdf7395_d20b9fea-9ed2-4162-8a52-d62463062387.jpg', 'https://prod.pictures.autoscout24.net/listing-images/5e9090ce-e4f3-497d-ba6f-94f94cdf7395_eff7fd19-6de1-404c-80b6-9ee6e718a42e.jpg']",8,"parma, IT","5,3","6,3","4,7",S UV/Fuoristrada/Pick-up,Usato,,5,5,,,65.000 km,02/2018,110 k W (150 C V),Semiautomatico,,,360° camera Bracciolo Chiusura centralizzata senza chiave Climatizzatore Controllo automatico clima Cruise Control Head-up display Hill Holder Portellone posteriore elettrico Regolazione elettrica sedili Sedile posteriore sdoppiato Sedili riscaldati Sensore di pioggia Sensori di parcheggio assistito anteriori Sensori di parcheggio assistito posteriori Sistema di navigazione Specchietti laterali elettrici Telecamera per parcheggio assistito Tetto panoramico Vetri oscurati Volante in pelle,Autoradio Autoradio digitale Bluetooth CD Funzione T VHotspot Wi-Fi MP3 Schermo multifunzione interamente digitale Sound system US BVivavoce,A BS Airbag conducente Airbag passeggero Antifurto Assistente abbaglianti Blind spot monitor Controllo automatico trazione Controllo elettronico della corsia ES PFari di profondità antiabbagliamento Fendinebbia Frenata d'emergenza assistita Isofix Riconoscimento dei segnali stradali Servosterzo Sistema di avviso di distanza Sistema di controllo pressione pneumatici Sistema di riconoscimento della stanchezza,Cerchi in lega Luce d'ambiente Ruota di riserva Sistema lavafari Specchietto retrovisore con funzione antiabbagliamento Touch screen,Rosso,,,"€ 0,-","€ 999,-","€ 199,-","€ 1.198,-",Kilometerleasing,10.000 km,36 Monate,"€ 238,99","4,06 %","3,99 % gebunden","€ 19.148,09",,,,,1.999 cm³,9,4,1.655 kg,,"€ 8.603,64","0,92","€ 0,0766","€ 0,0383",,Diesel,,,"€ 25.500,-",-,"€ 25.500,-","€ 31.579,20","9,13 %","8,50 %","€ 523,17",,,,,,,,,,
/annunci/land-rover-range-rover-evoque-2-0d-i4-r-dynamic-s-fwd-150cv-diesel-bianco-01377fda-1134-4f6a-b314-c7bb304aea04,Land Rover,2022-11-22 22:42:49.020322,"['https://prod.pictures.autoscout24.net/listing-images/01377fda-1134-4f6a-b314-c7bb304aea04_f9672bc7-ea22-4366-9005-6db70d574ec3.jpg', 'https://prod.pictures.autoscout24.net/listing-images/01377fda-1134-4f6a-b314-c7bb304aea04_c218ffd5-0d8a-409d-927b-4a4912625a75.jpg', 'https://prod.pictures.autoscout24.net/listing-images/01377fda-1134-4f6a-b314-c7bb304aea04_67ff4cc6-b471-442c-84ae-ff59c7f7f813.jpg', 'https://prod.pictures.autoscout24.net/listing-images/01377fda-1134-4f6a-b314-c7bb304aea04_acd26c6d-4747-4556-917e-72438e6b5130.jpg', 'https://prod.pictures.autoscout24.net/listing-images/01377fda-1134-4f6a-b314-c7bb304aea04_9e12957d-f46e-4165-a0eb-d8acabd839d2.jpg', 'https://prod.pictures.autoscout24.net/listing-images/01377fda-1134-4f6a-b314-c7bb304aea04_ad2f7660-b3b1-4e77-b09f-d5c8e3e79665.jpg', 'https://prod.pictures.autoscout24.net/listing-images/01377fda-1134-4f6a-b314-c7bb304aea04_f6959bce-5440-49de-b7a1-728c52ccca33.jpg']",7,"pordenone, IT","5,4","6,3","4,9",S UV/Fuoristrada/Pick-up,Usato,,5,5,,,27.000 km,01/2020,110 k W (150 C V),Manuale,,,360° camera Alzacristalli elettrici Chiusura centralizzata senza chiave Climatizzatore Controllo automatico clima Cruise Control Head-up display Hill Holder Parabrezza riscaldato Portellone posteriore elettrico Regolazione elettrica sedili Sedile passeggero ribaltabile Sedile posteriore sdoppiato Sedili riscaldati Sensore di luminosità Sensore di pioggia Sensori di parcheggio assistito anteriori Sensori di parcheggio assistito posteriori Specchietti laterali elettrici Telecamera per parcheggio assistito Tetto panoramico Tettuccio apribile Vetri oscurati Volante in pelle Volante riscaldato,Android Auto Apple Car Play Autoradio Autoradio digitale Bluetooth Computer di bordo Hotspot Wi-Fi MP3 Schermo multifunzione interamente digitale Sound system US BVivavoce,A BS Airbag conducente Airbag laterali Airbag passeggero Airbag testa Antifurto Assistente abbaglianti Chiusura centralizzata Chiusura centralizzata telecomandata Controllo automatico trazione ES PFari L ED Fari di profondità antiabbagliamento Fari full-L ED Fendinebbia Frenata d'emergenza assistita Isofix Limitatore di velocità Servosterzo Sistema di avviso di distanza Sistema di controllo pressione pneumatici Sistema di riconoscimento della stanchezza,Cerchi in lega Controllo vocale Gancio traino Leve al volante Luce d'ambiente Pneumatici estivi Pneumatici quattro stagioni Ruota di riserva Sistema lavafari Specchietto retrovisore con funzione antiabbagliamento Spoiler,Bianco,,,,,,,,,,,,,,,,,,1.999 cm³,6,4,1.787 kg,,,,,,,Diesel,143 g/km (comb.),,,,,,,,,,,,,,,,,,
/annunci/jeep-renegade-renegade-1-0-t3-limited-2wd-benzina-nero-c16a5b29-8be3-4d92-88dc-bf2c9149e4bd,Jeep,2022-11-22 22:43:01.567874,"['https://prod.pictures.autoscout24.net/listing-images/c16a5b29-8be3-4d92-88dc-bf2c9149e4bd_6aadd958-aed5-4b97-a017-1de3bb1a8e69.jpg', 'https://prod.pictures.autoscout24.net/listing-images/c16a5b29-8be3-4d92-88dc-bf2c9149e4bd_bb706f7f-1789-4718-8eae-90652dcf6c10.jpg', 'https://prod.pictures.autoscout24.net/listing-images/c16a5b29-8be3-4d92-88dc-bf2c9149e4bd_5064397e-f503-4c3b-b9a0-5bced69e2496.jpg', 'https://prod.pictures.autoscout24.net/listing-images/c16a5b29-8be3-4d92-88dc-bf2c9149e4bd_8bb1f09f-e571-4992-a935-fd967486d9b6.jpg', 'https://prod.pictures.autoscout24.net/listing-images/c16a5b29-8be3-4d92-88dc-bf2c9149e4bd_8b175e3d-f696-4660-be5a-70fc3607c521.jpg', 'https://prod.pictures.autoscout24.net/listing-images/c16a5b29-8be3-4d92-88dc-bf2c9149e4bd_1d91c9b6-7479-441c-83a1-3745d4986876.jpg', 'https://prod.pictures.autoscout24.net/listing-images/c16a5b29-8be3-4d92-88dc-bf2c9149e4bd_8ab54a6b-9884-4f3d-a74a-f03eabbf98b8.jpg', 'https://prod.pictures.autoscout24.net/listing-images/c16a5b29-8be3-4d92-88dc-bf2c9149e4bd_48b7dc7b-9c9d-4c00-afe8-7e38b6e0dd10.jpg']",8,"Castellanza, IT",,,,S UV/Fuoristrada/Pick-up,Usato,Anteriore,5,5,,12 mesi,50.250 km,11/2018,88 k W (120 C V),Manuale,,Euro 6d-T EM P,"Alzacristalli elettrici Climatizzatore automatico, 2 zone Sensori di parcheggio assistito anteriori Start/Stop Automatico Volante in pelle",,Airbag conducente Fendinebbia,"Cerchi in lega (17"")",Nero,Nero,Stoffa,"€ 0,-",Keine Angabe,Keine Angabe,"€ 0,-",Kilometerleasing,10.000 km,48 Monate,"€ 459,-","3,56 %","3,56 % kombiniert","€ 41.277,54","€ 0,-",,,,999 cm³,6,3,1.395 kg,,,,"€ 0,1000","€ 0,0440",689452,Benzina,128 g/km (comb.),N ER O M ET.,"€ 18.850,-",-,"€ 18.850,-","€ 23.393,40","9,23 %","8,51 %","€ 386,74",,,,,,,,,,
/annunci/jeep-compass-2-0-multijet-ii-4wd-limited-diesel-grigio-026e7ab7-aecf-4fd0-b363-afa6d72eb05e,Jeep,2022-11-22 22:43:02.396675,[],0,"Cingoli - Macerata - Mc, IT","6,3","7,2","5,1",S UV/Fuoristrada/Pick-up,Usato,4x4,5,4,Italia,12 mesi,82.300 km,03/2019,103 k W (140 C V),Manuale,,Euro 6,Alzacristalli elettrici Bracciolo Chiusura centralizzata senza chiave Climatizzatore Controllo automatico clima Cruise Control Hill Holder Parabrezza riscaldato Sedile posteriore sdoppiato Sensore di luminosità Sensore di pioggia Sensori di parcheggio assistito anteriori Sensori di parcheggio assistito posteriori Sistema di navigazione Specchietti laterali elettrici Start/Stop Automatico Supporto lombare Telecamera per parcheggio assistito Vetri oscurati Volante in pelle Volante multifunzione,Autoradio Autoradio digitale Bluetooth CD Computer di bordo MP3 US BVivavoce,A BS Airbag conducente Airbag laterali Airbag passeggero Airbag testa Antifurto Blind spot monitor Chiusura centralizzata Controllo automatico trazione ES PFari Xenon Fendinebbia Frenata d'emergenza assistita Immobilizzatore elettronico Isofix Luci diurne Luci diurne L ED Riconoscimento dei segnali stradali Servosterzo,Cerchi in lega Controllo vocale Sistema lavafari Touch screen,Grigio,Nero,Pelle parziale,"€ 8.543,90",Keine Angabe,Keine Angabe,"€ 8.543,90",Kilometerleasing,10.000 km,42 Monate,"€ 349,-","4,76 %","4,66 % gebunden","€ 44.773,70",,,,,1.956 cm³,6,4,1.615 kg,Metallizzato,"€ 23.201,90","0,57","€ 0,0777","€ 0,0518",,Diesel,159 g/km (comb.),,"€ 26.800,-",-,"€ 26.800,-","€ 33.179,40","9,11 %","8,50 %","€ 549,84",,,,,,,,,,
